id,date,variable,value
217,11/12/2018,AMZN,1593.410034
218,11/19/2018,AMZN,1502.060059
219,11/26/2018,AMZN,1690.170044
220,12/3/2018,AMZN,1629.130005
221,12/10/2018,AMZN,1591.910034
222,12/17/2018,AMZN,1377.449951
223,12/24/2018,AMZN,1478.02002
224,12/31/2018,AMZN,1575.390015
225,1/7/2019,AMZN,1640.560059
226,1/14/2019,AMZN,1696.199951
227,1/21/2019,AMZN,1670.569946
228,1/28/2019,AMZN,1626.22998
229,2/4/2019,AMZN,1588.219971
230,2/11/2019,AMZN,1607.949951
231,2/18/2019,AMZN,1631.560059
232,2/25/2019,AMZN,1671.72998
233,3/4/2019,AMZN,1620.800049
234,3/11/2019,AMZN,1712.359985
235,3/18/2019,AMZN,1764.77002
236,3/25/2019,AMZN,1780.75
237,4/1/2019,AMZN,1837.280029
238,4/8/2019,AMZN,1843.060059
239,4/15/2019,AMZN,1861.689941
240,4/22/2019,AMZN,1950.630005
241,4/29/2019,AMZN,1962.459961
242,5/6/2019,AMZN,1889.97998
243,5/13/2019,AMZN,1869
244,5/20/2019,AMZN,1823.280029
245,5/27/2019,AMZN,1775.069946
246,6/3/2019,AMZN,1804.030029
247,6/10/2019,AMZN,1869.670044
248,6/17/2019,AMZN,1911.300049
249,6/24/2019,AMZN,1893.630005
250,7/1/2019,AMZN,1942.910034
251,7/8/2019,AMZN,2011
252,7/15/2019,AMZN,1964.52002
253,7/22/2019,AMZN,1943.050049
254,7/29/2019,AMZN,1823.23999
255,8/5/2019,AMZN,1807.579956
256,8/12/2019,AMZN,1792.569946
257,8/19/2019,AMZN,1749.619995
258,8/26/2019,AMZN,1776.290039
259,9/2/2019,AMZN,1833.51001
260,9/9/2019,AMZN,1839.339966
261,9/16/2019,AMZN,1794.160034
262,9/23/2019,AMZN,1725.449951
263,9/30/2019,AMZN,1739.650024
264,10/7/2019,AMZN,1731.920044
265,10/14/2019,AMZN,1757.51001
266,10/21/2019,AMZN,1761.329956
267,10/28/2019,AMZN,1791.439941
268,11/4/2019,AMZN,1785.880005
269,11/11/2019,AMZN,1739.48999
270,11/18/2019,AMZN,1745.719971
271,11/25/2019,AMZN,1800.800049
272,12/2/2019,AMZN,1751.599976
273,12/9/2019,AMZN,1760.939941
274,12/16/2019,AMZN,1786.5
275,12/23/2019,AMZN,1869.800049
276,12/30/2019,AMZN,1874.969971
277,1/6/2020,AMZN,1883.160034
278,1/13/2020,AMZN,1864.719971
279,1/20/2020,AMZN,1861.640015
280,1/27/2020,AMZN,2008.719971
281,2/3/2020,AMZN,2079.280029
282,2/10/2020,AMZN,2134.870117
283,2/17/2020,AMZN,2095.969971
284,2/24/2020,AMZN,1883.75
285,3/2/2020,AMZN,1901.089966
286,3/9/2020,AMZN,1785
287,3/16/2020,AMZN,1846.089966
288,3/23/2020,AMZN,1900.099976
289,3/30/2020,AMZN,1906.589966
290,4/6/2020,AMZN,2042.76001
291,4/13/2020,AMZN,2375
292,4/20/2020,AMZN,2410.219971
293,4/27/2020,AMZN,2286.040039
294,5/4/2020,AMZN,2379.610107
295,5/11/2020,AMZN,2409.780029
296,5/18/2020,AMZN,2436.879883
297,5/25/2020,AMZN,2442.370117
298,6/1/2020,AMZN,2483
299,6/8/2020,AMZN,2545.02002
300,6/15/2020,AMZN,2675.01001
301,6/22/2020,AMZN,2692.870117
302,6/29/2020,AMZN,2890.300049
303,7/6/2020,AMZN,3200
304,7/13/2020,AMZN,2961.969971
305,7/20/2020,AMZN,3008.909912
306,7/27/2020,AMZN,3164.679932
307,8/3/2020,AMZN,3167.459961
308,8/10/2020,AMZN,3148.02002
309,8/17/2020,AMZN,3284.719971
310,8/24/2020,AMZN,3401.800049
311,8/31/2020,AMZN,3294.620117
312,9/7/2020,AMZN,3149.840088
313,9/15/2014,GOOG,594.447937
314,9/22/2014,GOOG,575.519897
315,9/29/2014,GOOG,573.704895
316,10/6/2014,GOOG,542.999207
317,10/13/2014,GOOG,509.770416
318,10/20/2014,GOOG,538.302063
319,10/27/2014,GOOG,557.549255
320,11/3/2014,GOOG,539.528748
321,11/10/2014,GOOG,542.909424
322,11/17/2014,GOOG,536.02832
323,11/24/2014,GOOG,540.346497
324,12/1/2014,GOOG,523.821838
325,12/8/2014,GOOG,517.239929
326,12/15/2014,GOOG,514.936218
327,12/22/2014,GOOG,532.56781
328,12/29/2014,GOOG,523.373108
329,1/5/2015,GOOG,494.811493
330,1/12/2015,GOOG,506.688873
331,1/19/2015,GOOG,538.471619
332,1/26/2015,GOOG,533.056519
333,2/2/2015,GOOG,529.546143
334,2/9/2015,GOOG,547.506836
335,2/16/2015,GOOG,537.474365
336,2/23/2015,GOOG,556.871094
337,3/2/2015,GOOG,566.130676
338,3/9/2015,GOOG,545.821472
339,3/16/2015,GOOG,558.825745
340,3/23/2015,GOOG,546.838684
341,3/30/2015,GOOG,534.063721
342,4/6/2015,GOOG,538.531433
343,4/13/2015,GOOG,522.615173
344,4/20/2015,GOOG,563.512878
345,4/27/2015,GOOG,537.900024
346,5/4/2015,GOOG,538.219971
347,5/11/2015,GOOG,533.849976
348,5/18/2015,GOOG,540.109985
349,5/25/2015,GOOG,532.109985
350,6/1/2015,GOOG,533.330017
351,6/8/2015,GOOG,532.330017
352,6/15/2015,GOOG,536.690002
353,6/22/2015,GOOG,531.690002
354,6/29/2015,GOOG,523.400024
355,7/6/2015,GOOG,530.130005
356,7/13/2015,GOOG,672.929993
357,7/20/2015,GOOG,623.559998
358,7/27/2015,GOOG,625.609985
359,8/3/2015,GOOG,635.299988
360,8/10/2015,GOOG,657.119995
361,8/17/2015,GOOG,612.47998
362,8/24/2015,GOOG,630.380005
363,8/31/2015,GOOG,600.700012
364,9/7/2015,GOOG,625.77002
365,9/14/2015,GOOG,629.25
366,9/21/2015,GOOG,611.969971
367,9/28/2015,GOOG,626.909973
368,10/5/2015,GOOG,643.609985
369,10/12/2015,GOOG,662.200012
370,10/19/2015,GOOG,702
371,10/26/2015,GOOG,710.809998
372,11/2/2015,GOOG,733.76001
373,11/9/2015,GOOG,717
374,11/16/2015,GOOG,756.599976
375,11/23/2015,GOOG,750.26001
376,11/30/2015,GOOG,766.809998
377,12/7/2015,GOOG,738.869995
378,12/14/2015,GOOG,739.309998
379,12/21/2015,GOOG,748.400024
380,12/28/2015,GOOG,758.880005
381,1/4/2016,GOOG,714.469971
382,1/11/2016,GOOG,694.450012
383,1/18/2016,GOOG,725.25
384,1/25/2016,GOOG,742.950012
385,2/1/2016,GOOG,683.570007
386,2/8/2016,GOOG,682.400024
387,2/15/2016,GOOG,700.909973
388,2/22/2016,GOOG,705.070007
389,2/29/2016,GOOG,710.890015
390,3/7/2016,GOOG,726.820007
391,3/14/2016,GOOG,737.599976
392,3/21/2016,GOOG,735.299988
393,3/28/2016,GOOG,749.909973
394,4/4/2016,GOOG,739.150024
395,4/11/2016,GOOG,759
396,4/18/2016,GOOG,718.77002
397,4/25/2016,GOOG,693.01001
398,5/2/2016,GOOG,711.119995
399,5/9/2016,GOOG,710.830017
400,5/16/2016,GOOG,709.73999
401,5/23/2016,GOOG,732.659973
402,5/30/2016,GOOG,722.340027
403,6/6/2016,GOOG,719.409973
404,6/13/2016,GOOG,691.719971
405,6/20/2016,GOOG,675.219971
406,6/27/2016,GOOG,699.210022
407,7/4/2016,GOOG,705.630005
408,7/11/2016,GOOG,719.849976
409,7/18/2016,GOOG,742.73999
410,7/25/2016,GOOG,768.789978
411,8/1/2016,GOOG,782.219971
412,8/8/2016,GOOG,783.219971
413,8/15/2016,GOOG,775.419983
414,8/22/2016,GOOG,769.539978
415,8/29/2016,GOOG,771.460022
416,9/5/2016,GOOG,759.659973
417,9/12/2016,GOOG,768.880005
418,9/19/2016,GOOG,786.900024
419,9/26/2016,GOOG,777.289978
420,10/3/2016,GOOG,775.080017
421,10/10/2016,GOOG,778.530029
422,10/17/2016,GOOG,799.369995
423,10/24/2016,GOOG,795.369995
424,10/31/2016,GOOG,762.02002
425,11/7/2016,GOOG,754.02002
426,11/14/2016,GOOG,760.539978
427,11/21/2016,GOOG,761.679993
428,11/28/2016,GOOG,750.5
429,12/5/2016,GOOG,789.289978
430,12/12/2016,GOOG,790.799988
431,12/19/2016,GOOG,789.909973
432,12/26/2016,GOOG,771.820007
433,1/2/2017,GOOG,806.150024
434,1/9/2017,GOOG,807.880005
435,1/16/2017,GOOG,805.02002
436,1/23/2017,GOOG,823.309998
437,1/30/2017,GOOG,801.48999
438,2/6/2017,GOOG,813.669983
439,2/13/2017,GOOG,828.070007
440,2/20/2017,GOOG,828.640015
441,2/27/2017,GOOG,829.080017
442,3/6/2017,GOOG,843.25
443,3/13/2017,GOOG,852.119995
444,3/20/2017,GOOG,814.429993
445,3/27/2017,GOOG,829.559998
446,4/3/2017,GOOG,824.669983
447,4/10/2017,GOOG,823.559998
448,4/17/2017,GOOG,843.190002
449,4/24/2017,GOOG,905.960022
450,5/1/2017,GOOG,927.130005
451,5/8/2017,GOOG,932.219971
452,5/15/2017,GOOG,934.01001
453,5/22/2017,GOOG,971.469971
454,5/29/2017,GOOG,975.599976
455,6/5/2017,GOOG,949.830017
456,6/12/2017,GOOG,939.780029
457,6/19/2017,GOOG,965.590027
458,6/26/2017,GOOG,908.72998
459,7/3/2017,GOOG,918.590027
460,7/10/2017,GOOG,955.98999
461,7/17/2017,GOOG,972.919983
462,7/24/2017,GOOG,941.530029
463,7/31/2017,GOOG,927.960022
464,8/7/2017,GOOG,914.390015
465,8/14/2017,GOOG,910.669983
466,8/21/2017,GOOG,915.890015
467,8/28/2017,GOOG,937.340027
468,9/4/2017,GOOG,926.5
469,9/11/2017,GOOG,920.289978
470,9/18/2017,GOOG,928.530029
471,9/25/2017,GOOG,959.109985
472,10/2/2017,GOOG,978.890015
473,10/9/2017,GOOG,989.679993
474,10/16/2017,GOOG,988.200012
