date,aapl,tsla,fb,amzn,goog
6/24/2020,360.059998,960.849976,234.020004,2734.399902,1431.969971
6/25/2020,364.839996,985.97998,235.679993,2754.580078,1441.329956
6/26/2020,353.630005,959.73999,216.080002,2692.870117,1359.900024
6/29/2020,361.779999,1009.349976,220.639999,2680.379883,1394.969971
6/30/2020,364.799988,1079.810059,227.070007,2758.820068,1413.609985
7/1/2020,364.109985,1119.630005,237.550003,2878.699951,1438.040039
7/2/2020,364.109985,1208.660034,233.419998,2890.300049,1464.699951
7/6/2020,373.850006,1371.579956,240.279999,3057.040039,1495.699951
7/7/2020,372.690002,1389.859985,240.860001,3000.120117,1485.180054
7/8/2020,381.369995,1365.880005,243.580002,3081.110107,1496
7/9/2020,383.01001,1394.280029,244.5,3182.629883,1510.98999
7/10/2020,383.679993,1544.650024,245.070007,3200,1541.73999
7/13/2020,381.910004,1497.060059,239,3104,1511.339966
7/14/2020,388.230011,1516.800049,239.729996,3084,1520.579956
7/15/2020,390.899994,1546.01001,240.279999,3008.870117,1513.640015
7/16/2020,386.089996,1500.640015,240.929993,2999.899902,1518
7/17/2020,385.309998,1500.839966,242.029999,2961.969971,1515.550049
7/20/2020,393.429993,1643,245.419998,3196.840088,1565.719971
7/21/2020,388,1568.359985,241.75,3138.290039,1558.420044
7/22/2020,389.089996,1592.329956,239.869995,3099.909912,1568.48999
7/23/2020,371.380005,1513.069946,232.600006,2986.550049,1515.680054
7/24/2020,370.459991,1417,230.710007,3008.909912,1511.869995
7/27/2020,379.23999,1539.599976,233.5,3055.209961,1530.199951
7/28/2020,373.01001,1476.48999,230.119995,3000.330078,1500.339966
7/29/2020,380.160004,1499.109985,233.289993,3033.530029,1522.02002
7/30/2020,384.76001,1487.48999,234.5,3051.879883,1531.449951
7/31/2020,425.040009,1430.76001,253.669998,3164.679932,1482.959961
