date,close
1/14/2008,169.04
1/15/2008,159.64
1/16/2008,160.89
1/17/2008,161.36
1/21/2008,155.64
1/22/2008,139.07
1/23/2008,135.6
1/24/2008,130.01
1/27/2008,130.01
1/28/2008,131.54
1/29/2008,132.18
1/30/2008,135.36
2/1/2008,133.75
2/4/2008,131.65
2/5/2008,129.36
2/6/2008,122
2/7/2008,121.24
2/8/2008,125.48
2/10/2008,129.45
2/11/2008,124.86
2/12/2008,129.4
2/13/2008,127.46
2/14/2008,124.63
2/18/2008,122.18
2/19/2008,123.82
2/20/2008,121.54
2/21/2008,119.46
2/24/2008,119.74
2/25/2008,119.15
2/26/2008,122.96
2/27/2008,129.91
2/28/2008,125.02
3/3/2008,121.73
3/4/2008,124.62
3/5/2008,124.49
3/6/2008,120.93
3/7/2008,122.25
3/9/2008,119.69
3/10/2008,127.35
3/11/2008,126.03
3/12/2008,127.94
3/13/2008,126.61
3/16/2008,126.73
3/17/2008,132.82
3/18/2008,129.67
3/19/2008,133.27
3/23/2008,139.53
3/24/2008,140.98
3/25/2008,145.06
3/26/2008,140.25
3/27/2008,143.01
3/30/2008,143.5
4/1/2008,149.53
4/2/2008,147.49
4/3/2008,151.61
4/4/2008,153.08
4/7/2008,155.89
4/8/2008,152.84
4/9/2008,151.44
4/9/2008,154.55
4/10/2008,147.14
4/13/2008,147.78
4/14/2008,148.38
4/15/2008,153.7
4/16/2008,154.49
4/17/2008,161.04
4/20/2008,168.16
4/21/2008,160.2
4/22/2008,162.89
4/23/2008,168.94
4/24/2008,169.73
4/27/2008,172.24
4/28/2008,175.05
4/29/2008,173.95
5/1/2008,180
5/2/2008,180.94
5/5/2008,184.73
5/6/2008,186.66
5/7/2008,182.59
5/8/2008,185.06
5/9/2008,183.45
5/11/2008,188.16
5/12/2008,189.96
5/13/2008,186.26
5/14/2008,189.73
5/15/2008,187.62
5/18/2008,183.6
5/19/2008,185.9
5/20/2008,178.19
5/21/2008,177.05
5/22/2008,181.17
5/26/2008,186.43
5/27/2008,187.01
5/28/2008,186.69
5/29/2008,188.75
6/2/2008,186.1
6/3/2008,185.37
6/4/2008,185.19
6/5/2008,189.43
6/6/2008,185.64
6/9/2008,181.61
6/9/2008,185.64
6/10/2008,180.81
6/11/2008,173.26
6/12/2008,172.37
6/15/2008,176.84
6/16/2008,181.43
6/17/2008,178.75
6/18/2008,180.9
6/19/2008,175.27
6/22/2008,173.16
6/23/2008,173.25
6/24/2008,177.39
6/25/2008,168.26
6/26/2008,170.09
6/29/2008,167.44
7/1/2008,174.68
7/2/2008,168.18
7/3/2008,170.12
7/7/2008,175.16
7/8/2008,179.55
7/9/2008,174.25
7/9/2008,176.63
7/10/2008,172.58
7/13/2008,173.88
7/14/2008,169.64
7/15/2008,172.81
7/16/2008,171.81
7/17/2008,165.15
7/20/2008,166.29
7/21/2008,162.02
7/22/2008,166.26
7/23/2008,159.03
7/24/2008,162.12
7/27/2008,154.4
7/28/2008,157.08
7/29/2008,159.88
7/30/2008,158.95
8/1/2008,156.66
8/4/2008,153.23
8/5/2008,160.64
8/6/2008,164.19
8/7/2008,163.57
8/8/2008,169.55
8/10/2008,173.56
8/11/2008,176.73
8/12/2008,179.3
8/13/2008,179.32
8/14/2008,175.74
8/17/2008,175.39
8/18/2008,173.53
8/19/2008,175.84
8/20/2008,174.29
8/21/2008,176.79
8/24/2008,172.55
8/25/2008,173.64
8/26/2008,174.67
8/27/2008,173.74
8/28/2008,169.53
9/2/2008,166.19
9/3/2008,166.96
9/4/2008,161.22
9/5/2008,160.18
9/8/2008,157.92
9/9/2008,151.68
9/9/2008,151.61
9/10/2008,152.65
9/11/2008,148.94
9/14/2008,140.36
9/15/2008,139.88
9/16/2008,127.83
9/17/2008,134.09
9/18/2008,140.91
9/21/2008,131.05
9/22/2008,126.84
9/23/2008,128.71
9/24/2008,131.93
9/25/2008,128.24
9/28/2008,105.26
9/29/2008,113.66
10/1/2008,109.12
10/2/2008,100.1
10/3/2008,97.07
10/6/2008,98.14
10/7/2008,89.16
10/8/2008,89.79
10/9/2008,88.74
10/9/2008,96.8
10/12/2008,110.26
10/13/2008,104.08
10/14/2008,97.95
10/15/2008,101.89
10/16/2008,97.4
10/19/2008,98.44
10/20/2008,91.49
10/21/2008,96.87
10/22/2008,98.23
10/23/2008,96.38
10/26/2008,92.09
10/27/2008,99.91
10/28/2008,104.55
10/29/2008,111.04
10/30/2008,107.59
11/3/2008,106.96
11/4/2008,110.99
11/5/2008,103.3
11/6/2008,99.1
11/7/2008,98.24
11/9/2008,95.88
11/10/2008,94.77
11/11/2008,90.12
11/12/2008,96.44
11/13/2008,90.24
11/16/2008,88.14
11/17/2008,89.91
11/18/2008,86.29
11/19/2008,80.49
11/20/2008,82.58
11/23/2008,92.95
11/24/2008,90.8
11/25/2008,95
11/26/2008,95
11/27/2008,92.67
12/1/2008,88.93
12/2/2008,92.47
12/3/2008,95.9
12/4/2008,91.41
12/5/2008,94
12/8/2008,99.72
12/9/2008,100.06
12/9/2008,98.21
12/10/2008,95
12/11/2008,98.27
12/14/2008,94.75
12/15/2008,95.43
12/16/2008,89.16
12/17/2008,89.43
12/18/2008,90
12/21/2008,85.74
12/22/2008,86.38
12/23/2008,85.04
12/24/2008,85.04
12/25/2008,85.81
12/28/2008,86.61
12/29/2008,86.29
12/30/2008,85.35
1/1/2009,85.35
1/2/2009,90.75
1/5/2009,94.58
1/6/2009,93.02
1/7/2009,91.01
1/8/2009,92.7
1/9/2009,90.58
1/11/2009,88.66
1/12/2009,87.71
1/13/2009,85.33
1/14/2009,83.38
1/15/2009,82.33
1/19/2009,78.2
1/20/2009,82.83
